Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
Shawn Mendes 1,canadian pop,117,55,76,-6,8,75,191,4,3,79
Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92
Ariana Grande 1,dance pop,190,80,40,-4,16,70,186,12,46,85
Ed Sheeran 1,pop,93,65,64,-8,8,55,198,12,19,86
Post Malone 1,dfw rap,150,65,58,-4,11,18,175,45,7,94
Ed Sheeran 2,pop,102,68,80,-5,9,84,220,9,4,84
Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92
Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90
Lil Nas X 1,country rap,136,62,88,-6,11,64,157,5,10,87
Billie Eilish 1,electropop,135,43,70,-11,10,56,194,33,38,95
Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93
DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86
Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88
Sech 1,panamanian pop,176,79,73,-2,6,76,288,7,20,87
Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92
Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82
J Balvin 1,latin,176,65,75,-6,11,43,243,15,32,90
Post Malone 2,dfw rap,90,48,76,-6,7,91,158,56,5,91
Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88
Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91
MEDUZA,pop house,124,74,68,-7,7,63,153,4,3,91
Lil Nas X 2,country rap,154,59,70,-6,12,48,115,34,8,91
Jhay Cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7,83
Lunay,latin,92,78,80,-4,44,80,266,36,4,91
Billie Eilish 2,electropop,135,45,67,-11,12,68,195,25,30,89
Shawn Mendes 2,canadian pop,124,82,69,-4,13,87,191,49,6,70
Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83
Ali Gatie,canadian hip hop,96,46,73,-7,19,40,213,37,3,89
Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6,91
J Balvin 2,latin,93,79,64,-4,36,94,222,3,25,89
The Chainsmokers 1,edm,85,51,29,-8,10,36,210,12,4,84
Ariana Grande 2,dance pop,140,32,78,-11,9,33,179,59,33,89
Maluma,reggaeton,96,71,78,-5,9,68,176,22,28,89
Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89
Katy Perry,dance pop,100,88,77,-5,32,39,224,19,6,89
Martin Garrix,big room,114,72,66,-7,14,32,164,18,6,89
Sech 2,panamanian pop,176,70,75,-5,11,62,226,14,34,91
Ed Sheeran 3,pop,152,82,72,-5,36,91,162,13,5,87
Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,80
Lauv,dance pop,95,56,81,-6,6,68,199,48,7,78
Kygo,edm,104,68,69,-7,10,40,228,2,3,88
Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90
Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87
Khalid,pop,136,40,90,-9,6,35,198,5,13,84
ROSALÍA,r&b en espanol,98,69,88,-4,5,75,162,39,12,88
Marshmello 1,brostep,88,62,66,-2,58,44,182,7,5,88
Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88
Marshmello 2,brostep,100,79,69,-3,17,67,214,19,5,88
The Chainsmokers 2,edm,104,70,59,-6,41,50,218,23,3,88
Ed Sheeran 4,pop,95,79,75,-6,7,61,206,21,12,82
